query,calls,mean_time_ms,max_time_ms,total_time_ms,rows
"with tables as (
SELECT
  c.oid :: int8 AS id,
  nc.nspname AS schema,
  c.relname AS name,
  c.relrowsecurity AS rls_enabled,
  c.relforcerowsecurity AS rls_forced,
  CASE
    WHEN c.relreplident = $1 THEN $2
    WHEN c.relreplident = $3 THEN $4
    WHEN c.relreplident = $5 THEN $6
    ELSE $7
  END AS replica_identity,
  pg_total_relation_size(format($8, nc.nspname, c.relname)) :: int8 AS bytes,
  pg_size_pretty(
    pg_total_relation_size(format($9, nc.nspname, c.relname))
  ) AS size,
  pg_stat_get_live_tuples(c.oid) AS live_rows_estimate,
  pg_stat_get_dead_tuples(c.oid) AS dead_rows_estimate,
  obj_description(c.oid) AS comment,
  coalesce(pk.primary_keys, $10) as primary_keys,
  coalesce(
    jsonb_agg(relationships) filter (where relationships is not null),
    $11
  ) as relationships
FROM
  pg_namespace nc
  JOIN pg_class c ON nc.oid = c.relnamespace
  left join (
    select
      c.oid::int8 as table_id,
      jsonb_agg(
        jsonb_build_object(
          $12, c.oid::int8,
          $13, n.nspname,
          $14, c.relname,
          $15, a.attname
        )
        order by array_position(i.indkey, a.attnum)
      ) as primary_keys
    from
      pg_index i
      join pg_class c on i.indrelid = c.oid
      join pg_namespace n on c.relnamespace = n.oid
      join pg_attribute a on a.attrelid = c.oid and a.attnum = any(i.indkey)
    where
      n.nspname IN ($16) AND
      
      i.indisprimary
    group by c.oid
  ) as pk
  on pk.table_id = c.oid
  left join (
    select
      c.oid :: int8 as id,
      c.conname as constraint_name,
      nsa.nspname as source_schema,
      csa.relname as source_table_name,
      sa.attname as source_column_name,
      nta.nspname as target_table_schema,
      cta.relname as target_table_name,
      ta.attname as target_column_name
    from
      pg_constraint c
    join (
      pg_attribute sa
      join pg_class csa on sa.attrelid = csa.oid
      join pg_namespace nsa on csa.relnamespace = nsa.oid
    ) on sa.attrelid = c.conrelid and sa.attnum = any (c.conkey)
    join (
      pg_attribute ta
      join pg_class cta on ta.attrelid = cta.oid
      join pg_namespace nta on cta.relnamespace = nta.oid
    ) on ta.attrelid = c.confrelid and ta.attnum = any (c.confkey)
    where
      nsa.nspname IN ($17) OR nta.nspname IN ($18) AND
      
      c.contype = $19
  ) as relationships
  on (relationships.source_schema = nc.nspname and relationships.source_table_name = c.relname)
  or (relationships.target_table_schema = nc.nspname and relationships.target_table_name = c.relname)
WHERE
  nc.nspname IN ($20) AND
  
  
  c.relkind IN ($21, $22)
  AND NOT pg_is_other_temp_schema(nc.oid)
  AND (
    pg_has_role(c.relowner, $23)
    OR has_table_privilege(
      c.oid,
      $24
    )
    OR has_any_column_privilege(c.oid, $25)
  )
group by
  c.oid,
  c.relname,
  c.relrowsecurity,
  c.relforcerowsecurity,
  c.relreplident,
  nc.nspname,
  pk.primary_keys


)
  , columns as (
-- Adapted from information_schema.columns

SELECT
  c.oid :: int8 AS table_id,
  nc.nspname AS schema,
  c.relname AS table,
  (c.oid || $26 || a.attnum) AS id,
  a.attnum AS ordinal_position,
  a.attname AS name,
  CASE
    WHEN a.atthasdef THEN pg_get_expr(ad.adbin, ad.adrelid)
    ELSE $27
  END AS default_value,
  CASE
    WHEN t.typtype = $28 THEN CASE
      WHEN bt.typelem <> $29 :: oid
      AND bt.typlen = $30 THEN $31
      WHEN nbt.nspname = $32 THEN format_type(t.typbasetype, $33)
      ELSE $34
    END
    ELSE CASE
      WHEN t.typelem <> $35 :: oid
      AND t.typlen = $36 THEN $37
      WHEN nt.nspname = $38 THEN format_type(a.atttypid, $39)
      ELSE $40
    END
  END AS data_type,
  COALESCE(bt.typname, t.typname) AS format,
  a.attidentity IN ($41, $42) AS is_identity,
  CASE
    a.attidentity
    WHEN $43 THEN $44
    WHEN $45 THEN $46
    ELSE $47
  END AS identity_generation,
  a.attgenerated IN ($48) AS is_generated,
  NOT (
    a.attnotnull
    OR t.typtype = $49 AND t.typnotnull
  ) AS is_nullable,
  (
    c.relkind IN ($50, $51)
    OR c.relkind IN ($52, $53) AND pg_column_is_updatable(c.oid, a.attnum, $54)
  ) AS is_updatable,
  uniques.table_id IS NOT NULL AS is_unique,
  check_constraints.definition AS ""check"",
  array_to_json(
    array(
      SELECT
        enumlabel
      FROM
        pg_catalog.pg_enum enums
      WHERE
        enums.enumtypid = coalesce(bt.oid, t.oid)
        OR enums.enumtypid = coalesce(bt.typelem, t.typelem)
      ORDER BY
        enums.enumsortorder
    )
  ) AS enums,
  col_description(c.oid, a.attnum) AS comment
FROM
  pg_attribute a
  LEFT JOIN pg_attrdef ad ON a.attrelid = ad.adrelid
  AND a.attnum = ad.adnum
  JOIN (
    pg_class c
    JOIN pg_namespace nc ON c.relnamespace = nc.oid
  ) ON a.attrelid = c.oid
  JOIN (
    pg_type t
    JOIN pg_namespace nt ON t.typnamespace = nt.oid
  ) ON a.atttypid = t.oid
  LEFT JOIN (
    pg_type bt
    JOIN pg_namespace nbt ON bt.typnamespace = nbt.oid
  ) ON t.typtype = $55
  AND t.typbasetype = bt.oid
  LEFT JOIN (
    SELECT DISTINCT ON (table_id, ordinal_position)
      conrelid AS table_id,
      conkey[$56] AS ordinal_position
    FROM pg_catalog.pg_constraint
    WHERE contype = $57 AND cardinality(conkey) = $58
  ) AS uniques ON uniques.table_id = c.oid AND uniques.ordinal_position = a.attnum
  LEFT JOIN (
    -- We only select the first column check
    SELECT DISTINCT ON (table_id, ordinal_position)
      conrelid AS table_id,
      conkey[$59] AS ordinal_position,
      substring(
        pg_get_constraintdef(pg_constraint.oid, $60),
        $61,
        length(pg_get_constraintdef(pg_constraint.oid, $62)) - $63
      ) AS ""definition""
    FROM pg_constraint
    WHERE contype = $64 AND cardinality(conkey) = $65
    ORDER BY table_id, ordinal_position, oid asc
  ) AS check_constraints ON check_constraints.table_id = c.oid AND check_constraints.ordinal_position = a.attnum
WHERE
  nc.nspname IN ($66) AND
  
  
  
  
  NOT pg_is_other_temp_schema(nc.oid)
  AND a.attnum > $67
  AND NOT a.attisdropped
  AND (c.relkind IN ($68, $69, $70, $71, $72))
  AND (
    pg_has_role(c.relowner, $73)
    OR has_column_privilege(
      c.oid,
      a.attnum,
      $74
    )
  )


)
select
  *
  , 
COALESCE(
  (
    SELECT
      array_agg(row_to_json(columns)) FILTER (WHERE columns.table_id = tables.id)
    FROM
      columns
  ),
  $75
) AS columns
from tables",55,734.269935090909,1384.405776,40384.84643,3969
"with views as (
SELECT
  c.oid :: int8 AS id,
  n.nspname AS schema,
  c.relname AS name,
  -- See definition of information_schema.views
  (pg_relation_is_updatable(c.oid, $1) & $2) = $3 AS is_updatable,
  obj_description(c.oid) AS comment
FROM
  pg_class c
  JOIN pg_namespace n ON n.oid = c.relnamespace
WHERE
  n.nspname IN ($4) AND
  
  
  c.relkind = $5


)
  , columns as (
-- Adapted from information_schema.columns

SELECT
  c.oid :: int8 AS table_id,
  nc.nspname AS schema,
  c.relname AS table,
  (c.oid || $6 || a.attnum) AS id,
  a.attnum AS ordinal_position,
  a.attname AS name,
  CASE
    WHEN a.atthasdef THEN pg_get_expr(ad.adbin, ad.adrelid)
    ELSE $7
  END AS default_value,
  CASE
    WHEN t.typtype = $8 THEN CASE
      WHEN bt.typelem <> $9 :: oid
      AND bt.typlen = $10 THEN $11
      WHEN nbt.nspname = $12 THEN format_type(t.typbasetype, $13)
      ELSE $14
    END
    ELSE CASE
      WHEN t.typelem <> $15 :: oid
      AND t.typlen = $16 THEN $17
      WHEN nt.nspname = $18 THEN format_type(a.atttypid, $19)
      ELSE $20
    END
  END AS data_type,
  COALESCE(bt.typname, t.typname) AS format,
  a.attidentity IN ($21, $22) AS is_identity,
  CASE
    a.attidentity
    WHEN $23 THEN $24
    WHEN $25 THEN $26
    ELSE $27
  END AS identity_generation,
  a.attgenerated IN ($28) AS is_generated,
  NOT (
    a.attnotnull
    OR t.typtype = $29 AND t.typnotnull
  ) AS is_nullable,
  (
    c.relkind IN ($30, $31)
    OR c.relkind IN ($32, $33) AND pg_column_is_updatable(c.oid, a.attnum, $34)
  ) AS is_updatable,
  uniques.table_id IS NOT NULL AS is_unique,
  check_constraints.definition AS ""check"",
  array_to_json(
    array(
      SELECT
        enumlabel
      FROM
        pg_catalog.pg_enum enums
      WHERE
        enums.enumtypid = coalesce(bt.oid, t.oid)
        OR enums.enumtypid = coalesce(bt.typelem, t.typelem)
      ORDER BY
        enums.enumsortorder
    )
  ) AS enums,
  col_description(c.oid, a.attnum) AS comment
FROM
  pg_attribute a
  LEFT JOIN pg_attrdef ad ON a.attrelid = ad.adrelid
  AND a.attnum = ad.adnum
  JOIN (
    pg_class c
    JOIN pg_namespace nc ON c.relnamespace = nc.oid
  ) ON a.attrelid = c.oid
  JOIN (
    pg_type t
    JOIN pg_namespace nt ON t.typnamespace = nt.oid
  ) ON a.atttypid = t.oid
  LEFT JOIN (
    pg_type bt
    JOIN pg_namespace nbt ON bt.typnamespace = nbt.oid
  ) ON t.typtype = $35
  AND t.typbasetype = bt.oid
  LEFT JOIN (
    SELECT DISTINCT ON (table_id, ordinal_position)
      conrelid AS table_id,
      conkey[$36] AS ordinal_position
    FROM pg_catalog.pg_constraint
    WHERE contype = $37 AND cardinality(conkey) = $38
  ) AS uniques ON uniques.table_id = c.oid AND uniques.ordinal_position = a.attnum
  LEFT JOIN (
    -- We only select the first column check
    SELECT DISTINCT ON (table_id, ordinal_position)
      conrelid AS table_id,
      conkey[$39] AS ordinal_position,
      substring(
        pg_get_constraintdef(pg_constraint.oid, $40),
        $41,
        length(pg_get_constraintdef(pg_constraint.oid, $42)) - $43
      ) AS ""definition""
    FROM pg_constraint
    WHERE contype = $44 AND cardinality(conkey) = $45
    ORDER BY table_id, ordinal_position, oid asc
  ) AS check_constraints ON check_constraints.table_id = c.oid AND check_constraints.ordinal_position = a.attnum
WHERE
  nc.nspname IN ($46) AND
  
  
  
  
  NOT pg_is_other_temp_schema(nc.oid)
  AND a.attnum > $47
  AND NOT a.attisdropped
  AND (c.relkind IN ($48, $49, $50, $51, $52))
  AND (
    pg_has_role(c.relowner, $53)
    OR has_column_privilege(
      c.oid,
      a.attnum,
      $54
    )
  )


)
select
  *
  , 
COALESCE(
  (
    SELECT
      array_agg(row_to_json(columns)) FILTER (WHERE columns.table_id = views.id)
    FROM
      columns
  ),
  $55
) AS columns
from views",50,648.9689842,1199.324807,32448.44921,3347
"with f as (
      
-- CTE with sane arg_modes, arg_names, and arg_types.
-- All three are always of the same length.
-- All three include all args, including OUT and TABLE args.
with functions as (
  select
    *,
    -- proargmodes is null when all arg modes are IN
    coalesce(
      p.proargmodes,
      array_fill($1::text, array[cardinality(coalesce(p.proallargtypes, p.proargtypes))])
    ) as arg_modes,
    -- proargnames is null when all args are unnamed
    coalesce(
      p.proargnames,
      array_fill($2::text, array[cardinality(coalesce(p.proallargtypes, p.proargtypes))])
    ) as arg_names,
    -- proallargtypes is null when all arg modes are IN
    coalesce(p.proallargtypes, p.proargtypes) as arg_types,
    array_cat(
      array_fill($3, array[pronargs - pronargdefaults]),
      array_fill($4, array[pronargdefaults])) as arg_has_defaults
  from
    pg_proc as p
  where
    p.prokind = $5
)
select
  f.oid as id,
  n.nspname as schema,
  f.proname as name,
  l.lanname as language,
  case
    when l.lanname = $6 then $7
    else f.prosrc
  end as definition,
  case
    when l.lanname = $8 then f.prosrc
    else pg_get_functiondef(f.oid)
  end as complete_statement,
  coalesce(f_args.args, $9) as args,
  pg_get_function_arguments(f.oid) as argument_types,
  pg_get_function_identity_arguments(f.oid) as identity_argument_types,
  f.prorettype as return_type_id,
  pg_get_function_result(f.oid) as return_type,
  nullif(rt.typrelid, $10) as return_type_relation_id,
  f.proretset as is_set_returning_function,
  case
    when f.provolatile = $11 then $12
    when f.provolatile = $13 then $14
    when f.provolatile = $15 then $16
  end as behavior,
  f.prosecdef as security_definer,
  f_config.config_params as config_params
from
  functions f
  left join pg_namespace n on f.pronamespace = n.oid
  left join pg_language l on f.prolang = l.oid
  left join pg_type rt on rt.oid = f.prorettype
  left join (
    select
      oid,
      jsonb_object_agg(param, value) filter (where param is not null) as config_params
    from
      (
        select
          oid,
          (string_to_array(unnest(proconfig), $17))[$18] as param,
          (string_to_array(unnest(proconfig), $19))[$20] as value
        from
          functions
      ) as t
    group by
      oid
  ) f_config on f_config.oid = f.oid
  left join (
    select
      oid,
      jsonb_agg(jsonb_build_object(
        $21, t2.mode,
        $22, name,
        $23, type_id,
        -- Cast null into false boolean
        $24, COALESCE(has_default, $25)
      )) as args
    from
      (
        select
          oid,
          unnest(arg_modes) as mode,
          unnest(arg_names) as name,
          -- Coming from: coalesce(p.proallargtypes, p.proargtypes) postgres won't automatically assume
          -- integer, we need to cast it to be properly parsed
          unnest(arg_types)::int8 as type_id,
          unnest(arg_has_defaults) as has_default
        from
          functions
      ) as t1,
      lateral (
        select
          case
            when t1.mode = $26 then $27
            when t1.mode = $28 then $29
            when t1.mode = $30 then $31
            when t1.mode = $32 then $33
            else $34
          end as mode
      ) as t2
    group by
      t1.oid
  ) f_args on f_args.oid = f.oid

    )
    select
      f.*
    from f
   where schema NOT IN ($35,$36,$37)

-- source: dashboard
-- user: 8075c1a2-da12-4dce-901d-1b970a3e0101
-- date: 2026-02-01T06:23:07.129Z",56,518.691245232143,1137.156924,29046.709733,27529
"ALTER TABLE public.avatars ADD COLUMN is_preset bool
    DEFAULT 'false'
    NOT NULL",1,420.238451,420.238451,420.238451,0
"COPY  ( select n.nspname as schema, p.proname as function, pg_get_functiondef ( p.oid ) as definition from pg_proc p join pg_namespace n on n.oid = p.pronamespace where n.nspname not in ( 'pg_catalog' , 'information_schema' ) order by n.nspname, p.proname ) TO STDOUT WITH CSV HEADER",1,405.91149,405.91149,405.91149,496
"-- QUERY 1: Tables + columns + constraints + indexes + triggers + RLS flags + size
WITH tables AS (
  SELECT
    c.oid                                         AS table_oid,
    n.nspname                                     AS schema_name,
    c.relname                                     AS table_name,
    c.reltuples                                   AS approx_rows,
    c.relrowsecurity                              AS rls_enabled,
    c.relforcerowsecurity                         AS rls_forced,
    pg_total_relation_size(c.oid)                 AS total_bytes,
    pg_relation_size(c.oid)                       AS table_bytes,
    pg_indexes_size(c.oid)                        AS index_bytes,
    obj_description(c.oid, $1)            AS table_comment
  FROM pg_class c
  JOIN pg_namespace n ON n.oid = c.relnamespace
  WHERE c.relkind = $2 -- ordinary tables
    AND n.nspname IN ($3, $4)
)
SELECT
  t.schema_name,
  t.table_name,
  t.table_comment,
  t.rls_enabled,
  t.rls_forced,
  t.approx_rows,
  t.total_bytes,
  t.table_bytes,
  t.index_bytes,

  -- columns
  (
    SELECT jsonb_agg(
      jsonb_build_object(
        $5, a.attnum,
        $6, a.attname,
        $7, pg_catalog.format_type(a.atttypid, a.atttypmod),
        $8, a.attnotnull,
        $9, pg_get_expr(ad.adbin, ad.adrelid),
        $10, a.attidentity,
        $11, a.attgenerated
      )
      ORDER BY a.attnum
    )
    FROM pg_attribute a
    LEFT JOIN pg_attrdef ad
      ON ad.adrelid = a.attrelid AND ad.adnum = a.attnum
    WHERE a.attrelid = t.table_oid
      AND a.attnum > $12
      AND NOT a.attisdropped
  ) AS columns,

  -- constraints (pk/uk/fk/check)
  (
    SELECT jsonb_agg(
      jsonb_build_object(
        $13, con.conname,
        $14, con.contype,
        $15, pg_get_constraintdef(con.oid, $16)
      )
      ORDER BY con.conname
    )
    FROM pg_constraint con
    WHERE con.conrelid = t.table_oid
  ) AS constraints,

  -- indexes
  (
    SELECT jsonb_agg(
      jsonb_build_object(
        $17, i.relname,
        $18, pg_get_indexdef(i.oid)
      )
      ORDER BY i.relname
    )
    FROM pg_index ix
    JOIN pg_class i ON i.oid = ix.indexrelid
    WHERE ix.indrelid = t.table_oid
  ) AS indexes,

  -- triggers (excluding internal)
  (
    SELECT jsonb_agg(
      jsonb_build_object(
        $19, tg.tgname,
        $20, tg.tgenabled,
        $21, pg_get_triggerdef(tg.oid, $22)
      )
      ORDER BY tg.tgname
    )
    FROM pg_trigger tg
    WHERE tg.tgrelid = t.table_oid
      AND NOT tg.tgisinternal
  ) AS triggers

FROM tables t
ORDER BY t.schema_name, t.table_name",1,381.49694,381.49694,381.49694,112
DROP SCHEMA IF EXISTS public CASCADE,1,354.783696,354.783696,354.783696,0
"-- QUERY 2: RPCs / Functions (definitions + args + return type + security + volatility)
SELECT
  n.nspname                                                      AS schema_name,
  p.proname                                                      AS function_name,
  p.oid                                                          AS function_oid,
  pg_get_userbyid(p.proowner)                                    AS owner,
  p.prosecdef                                                    AS security_definer,
  p.provolatile                                                  AS volatility,      -- i=immutable, s=stable, v=volatile
  pg_get_function_identity_arguments(p.oid)                      AS identity_args,
  pg_get_function_arguments(p.oid)                               AS full_args,
  pg_catalog.format_type(p.prorettype, $1)                     AS return_type,
  pg_get_functiondef(p.oid)                                      AS definition
FROM pg_proc p
JOIN pg_namespace n ON n.oid = p.pronamespace
WHERE n.nspname IN ($2, $3)
  AND p.prokind = $4 -- function (not procedure/aggregate/window)
  AND p.proname NOT LIKE $5
ORDER BY n.nspname, p.proname, identity_args",1,274.966629,274.966629,274.966629,387
"ALTER TABLE public.organizations
    ADD COLUMN IF NOT EXISTS mission_statement text,
    ADD COLUMN IF NOT EXISTS headquarters text,
    ADD COLUMN IF NOT EXISTS logo_url text",1,269.306295,269.306295,269.306295,0
"-- QUERY 3: RLS policies + table grants + routine grants (single JSON output)
WITH tbl AS (
  SELECT
    c.oid                                 AS table_oid,
    n.nspname                             AS schema_name,
    c.relname                             AS table_name,
    c.relrowsecurity                      AS rls_enabled,
    c.relforcerowsecurity                 AS rls_forced
  FROM pg_class c
  JOIN pg_namespace n ON n.oid = c.relnamespace
  WHERE c.relkind = $1
    AND n.nspname IN ($2, $3)
),
pol AS (
  SELECT
    schemaname,
    tablename,
    jsonb_agg(
      jsonb_build_object(
        $4, policyname,
        $5, permissive,
        $6, roles,
        $7, cmd,
        $8, qual,
        $9, with_check
      )
      ORDER BY policyname
    ) AS policies
  FROM pg_policies
  WHERE schemaname IN ($10, $11)
  GROUP BY schemaname, tablename
),
table_grants AS (
  SELECT
    table_schema,
    table_name,
    jsonb_agg(
      jsonb_build_object(
        $12, grantee,
        $13, privilege_type,
        $14, is_grantable
      )
      ORDER BY grantee, privilege_type
    ) AS grants
  FROM information_schema.role_table_grants
  WHERE table_schema IN ($15, $16)
  GROUP BY table_schema, table_name
),
routine_grants AS (
  SELECT
    routine_schema,
    routine_name,
    jsonb_agg(
      jsonb_build_object(
        $17, grantee,
        $18, privilege_type,
        $19, is_grantable
      )
      ORDER BY grantee, privilege_type
    ) AS grants
  FROM information_schema.role_routine_grants
  WHERE routine_schema IN ($20, $21)
  GROUP BY routine_schema, routine_name
)
SELECT jsonb_build_object(
  $22, (
    SELECT jsonb_agg(
      jsonb_build_object(
        $23, t.schema_name,
        $24, t.table_name,
        $25, t.rls_enabled,
        $26, t.rls_forced,
        $27, COALESCE(p.policies, $28::jsonb),
        $29, COALESCE(g.grants, $30::jsonb)
      )
      ORDER BY t.schema_name, t.table_name
    )
    FROM tbl t
    LEFT JOIN pol p
      ON p.schemaname = t.schema_name AND p.tablename = t.table_name
    LEFT JOIN table_grants g
      ON g.table_schema = t.schema_name AND g.table_name = t.table_name
  ),
  $31, (
    SELECT jsonb_agg(
      jsonb_build_object(
        $32, rg.routine_schema,
        $33, rg.routine_name,
        $34, rg.grants
      )
      ORDER BY rg.routine_schema, rg.routine_name
    )
    FROM routine_grants rg
  )
) AS security_dump",1,197.888901,197.888901,197.888901,1
"-- Org Dashboard foundations (service areas, member rates, project invites)

-- [REF: org_dashboard_foundations START]

CREATE TABLE IF NOT EXISTS public.organization_service_areas (
    id uuid DEFAULT gen_random_uuid() NOT NULL,
    organization_id uuid NOT NULL REFERENCES public.organizations(id) ON DELETE CASCADE,
    service_area_text text NOT NULL,
    created_at timestamp with time zone DEFAULT now() NOT NULL,
    updated_at timestamp with time zone DEFAULT now() NOT NULL,
    CONSTRAINT organization_service_areas_pkey PRIMARY KEY (id)
)",1,189.125765,189.125765,189.125765,0
"with table_privileges as (
-- Despite the name `table_privileges`, this includes other kinds of relations:
-- views, matviews, etc. ""Relation privileges"" just doesn't roll off the tongue.
--
-- For each relation, get its relacl in a jsonb format,
-- e.g.
--
-- '{postgres=arwdDxt/postgres}'
--
-- becomes
--
-- [
--   {
--     ""grantee"": ""postgres"",
--     ""grantor"": ""postgres"",
--     ""is_grantable"": false,
--     ""privilege_type"": ""INSERT""
--   },
--   ...
-- ]
select
  c.oid as relation_id,
  nc.nspname as schema,
  c.relname as name,
  case
    when c.relkind = $1 then $2
    when c.relkind = $3 then $4
    when c.relkind = $5 then $6
    when c.relkind = $7 then $8
    when c.relkind = $9 then $10
  end as kind,
  coalesce(
    jsonb_agg(
      jsonb_build_object(
        $11, grantor.rolname,
        $12, grantee.rolname,
        $13, _priv.privilege_type,
        $14, _priv.is_grantable
      )
    ) filter (where _priv is not null),
    $15
  ) as privileges
from pg_class c
join pg_namespace as nc
  on nc.oid = c.relnamespace
left join lateral (
  select grantor, grantee, privilege_type, is_grantable
  from aclexplode(coalesce(c.relacl, acldefault($16, c.relowner)))
) as _priv on $17
left join pg_roles as grantor
  on grantor.oid = _priv.grantor
left join (
  select
    pg_roles.oid,
    pg_roles.rolname
  from pg_roles
  union all
  select
    ($18)::oid as oid, $19
) as grantee (oid, rolname)
  on grantee.oid = _priv.grantee
where c.relkind in ($20, $21, $22, $23, $24)
  and not pg_is_other_temp_schema(c.relnamespace)
  and (
    pg_has_role(c.relowner, $25)
    or has_table_privilege(
      c.oid,
      $26
      || case when current_setting($27)::int4 >= $28 then $29 else $30 end
    )
    or has_any_column_privilege(c.oid, $31)
  )
group by
  c.oid,
  nc.nspname,
  c.relname,
  c.relkind
)
select *
from table_privileges
 where schema NOT IN ($32,$33,$34)

-- source: dashboard
-- user: 8075c1a2-da12-4dce-901d-1b970a3e0101
-- date: 2026-02-01T06:16:21.723Z",22,184.542893045455,547.889806,4059.943647,4573
"with tables as (
SELECT
  c.oid :: int8 AS id,
  nc.nspname AS schema,
  c.relname AS name,
  c.relrowsecurity AS rls_enabled,
  c.relforcerowsecurity AS rls_forced,
  CASE
    WHEN c.relreplident = $1 THEN $2
    WHEN c.relreplident = $3 THEN $4
    WHEN c.relreplident = $5 THEN $6
    ELSE $7
  END AS replica_identity,
  pg_total_relation_size(format($8, nc.nspname, c.relname)) :: int8 AS bytes,
  pg_size_pretty(
    pg_total_relation_size(format($9, nc.nspname, c.relname))
  ) AS size,
  pg_stat_get_live_tuples(c.oid) AS live_rows_estimate,
  pg_stat_get_dead_tuples(c.oid) AS dead_rows_estimate,
  obj_description(c.oid) AS comment,
  coalesce(pk.primary_keys, $10) as primary_keys,
  coalesce(
    jsonb_agg(relationships) filter (where relationships is not null),
    $11
  ) as relationships
FROM
  pg_namespace nc
  JOIN pg_class c ON nc.oid = c.relnamespace
  left join (
    select
      c.oid::int8 as table_id,
      jsonb_agg(
        jsonb_build_object(
          $12, c.oid::int8,
          $13, n.nspname,
          $14, c.relname,
          $15, a.attname
        )
        order by array_position(i.indkey, a.attnum)
      ) as primary_keys
    from
      pg_index i
      join pg_class c on i.indrelid = c.oid
      join pg_namespace n on c.relnamespace = n.oid
      join pg_attribute a on a.attrelid = c.oid and a.attnum = any(i.indkey)
    where
      n.nspname IN ($16,$17) AND
      
      i.indisprimary
    group by c.oid
  ) as pk
  on pk.table_id = c.oid
  left join (
    select
      c.oid :: int8 as id,
      c.conname as constraint_name,
      nsa.nspname as source_schema,
      csa.relname as source_table_name,
      sa.attname as source_column_name,
      nta.nspname as target_table_schema,
      cta.relname as target_table_name,
      ta.attname as target_column_name
    from
      pg_constraint c
    join (
      pg_attribute sa
      join pg_class csa on sa.attrelid = csa.oid
      join pg_namespace nsa on csa.relnamespace = nsa.oid
    ) on sa.attrelid = c.conrelid and sa.attnum = any (c.conkey)
    join (
      pg_attribute ta
      join pg_class cta on ta.attrelid = cta.oid
      join pg_namespace nta on cta.relnamespace = nta.oid
    ) on ta.attrelid = c.confrelid and ta.attnum = any (c.confkey)
    where
      nsa.nspname IN ($18,$19) OR nta.nspname IN ($20,$21) AND
      
      c.contype = $22
  ) as relationships
  on (relationships.source_schema = nc.nspname and relationships.source_table_name = c.relname)
  or (relationships.target_table_schema = nc.nspname and relationships.target_table_name = c.relname)
WHERE
  nc.nspname IN ($23,$24) AND
  
  
  c.relkind IN ($25, $26)
  AND NOT pg_is_other_temp_schema(nc.oid)
  AND (
    pg_has_role(c.relowner, $27)
    OR has_table_privilege(
      c.oid,
      $28
    )
    OR has_any_column_privilege(c.oid, $29)
  )
group by
  c.oid,
  c.relname,
  c.relrowsecurity,
  c.relforcerowsecurity,
  c.relreplident,
  nc.nspname,
  pk.primary_keys


)
  
select
  *
  
from tables",80,183.5583317,562.106136,14684.666536,7692
